LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice
1,id_1,Product B,Male,Location 2,Region 2,16600
2,id_2,Product B,Male,Location 3,,16600
3,id_3,Product C,Female,Location 5,Region 5,15600
4,id_4,Product B,Male,Location 6,Region 1,16600
5,id_5,Product D,Female,Location 7,Region 2,20250
6,id_6,Product B,Female,Location 10,Region 2,
7,id_7,Product A,Male,Location 11,Region 3,20250
8,id_8,Product B,Male,Location 12,Region 6,16600
9,id_9,Product A,Female,Location 3,Region 3,22250
10,id_10,Product A,Female,Location 13,Region 6,20250
11,id_11,Product B,Female,Location 15,Region 2,16600
12,id_12,Product D,Female,Location 16,Region 1,20250
13,id_13,Product B,Male,Location 17,Region 3,16600
14,id_14,Product A,Male,Location 19,Region 2,20750
15,id_15,Product A,Female,Location 23,Region 4,22250
16,id_16,Product B,Male,Location 27,Region 2,16600
17,id_17,Product A,Male,Location 25,Region 3,22250
18,id_18,Product B,Female,Location 26,Region 3,16600
19,id_19,Product B,Male,Location 29,Region 1,16600
20,id_20,Product E,Male,Location 30,Region 2,54625
21,id_21,Product B,Male,Location 31,Region 4,16600
22,id_22,Product A,Male,Location 17,Region 3,22250
23,id_23,Product A,Male,Location 33,Region 3,19250
24,id_24,Product C,NotSpecified,Location 34,Region 1,15600
25,id_25,Product D,Female,Location 35,Region 6,20250
26,id_26,Product A,Male,Location 37,Region 4,22250
27,id_27,Product A,Female,Location 38,Region 3,19250
28,id_28,Product F,Female,Location 39,Region 6,69225
29,id_29,Product D,Female,Location 40,Region 6,20250
30,id_30,Product B,Male,Location 30,Region 2,16600
31,id_31,Product B,Male,Location 41,Region 1,16600
32,id_32,Product B,Male,Location 42,Region 4,16600
33,id_33,Product A,Female,Location 22,Region 6,19250
34,id_34,Product B,Male,Location 43,Region 3,16600
35,id_35,Product A,Female,Location 46,Region 2,19250
36,id_36,Product B,Female,Location 47,Region 7,16600
37,id_37,Product B,Male,Location 50,Region 1,16600
38,id_38,Product B,Male,Location 26,Region 3,16600
39,id_39,Product C,NotSpecified,Location 52,Region 6,15600
40,id_40,Product B,Female,Location 25,Region 3,16600
41,id_41,Product B,Male,Location 17,Region 3,16600
42,id_42,Product B,Female,Location 19,Region 2,16600
